2025-04-29 23:29:53,310 - INFO - Using device: cpu
2025-04-29 23:29:53,418 - INFO - Found latest_model @ /Users/salmanfaris/Desktop/ds-projects/reso2025/gdm-atari/model_run_1/pong_dqn_episode_900.pth
2025-04-29 23:29:53,418 - INFO - Loading latest_model @ /Users/salmanfaris/Desktop/ds-projects/reso2025/gdm-atari/model_run_1/pong_dqn_episode_900.pth
2025-04-29 23:29:53,424 - INFO - Loaded model from episode 900
2025-04-29 23:29:53,425 - INFO - Successfully loaded model and synchronized target model
2025-04-30 00:34:25,678 - INFO - Episode 980, Total Reward: -21.0
2025-04-30 00:35:10,613 - INFO - Episode 981, Total Reward: -21.0
2025-04-30 00:36:00,604 - INFO - Episode 982, Total Reward: -21.0
2025-04-30 00:36:47,114 - INFO - Episode 983, Total Reward: -21.0
2025-04-30 00:37:37,634 - INFO - Episode 984, Total Reward: -21.0
2025-04-30 00:38:26,275 - INFO - Episode 985, Total Reward: -21.0
2025-04-30 00:39:16,143 - INFO - Episode 986, Total Reward: -20.0
2025-04-30 00:40:01,419 - INFO - Episode 987, Total Reward: -21.0
2025-04-30 00:40:46,751 - INFO - Episode 988, Total Reward: -21.0
2025-04-30 00:41:37,459 - INFO - Episode 989, Total Reward: -21.0
2025-04-30 00:42:34,400 - INFO - Episode 990, Total Reward: -21.0
2025-04-30 00:43:24,559 - INFO - Episode 991, Total Reward: -21.0
2025-04-30 00:44:13,394 - INFO - Episode 992, Total Reward: -21.0
2025-04-30 00:45:01,606 - INFO - Episode 993, Total Reward: -21.0
2025-04-30 00:45:46,541 - INFO - Episode 994, Total Reward: -21.0
2025-04-30 00:46:37,193 - INFO - Episode 995, Total Reward: -21.0
2025-04-30 00:47:25,634 - INFO - Episode 996, Total Reward: -21.0
2025-04-30 00:48:14,898 - INFO - Episode 997, Total Reward: -20.0
2025-04-30 00:49:01,142 - INFO - Episode 998, Total Reward: -21.0
2025-04-30 00:49:45,582 - INFO - Episode 999, Total Reward: -21.0
2025-04-30 00:50:30,226 - INFO - Model saved at episode 1000
2025-04-30 00:50:30,227 - INFO - Episode 1000, Total Reward: -21.0
2025-04-30 00:51:17,757 - INFO - Episode 1001, Total Reward: -21.0
2025-04-30 00:52:09,922 - INFO - Episode 1002, Total Reward: -20.0
2025-04-30 00:52:56,784 - INFO - Episode 1003, Total Reward: -21.0
2025-04-30 00:53:41,716 - INFO - Episode 1004, Total Reward: -21.0
2025-04-30 00:54:25,976 - INFO - Episode 1005, Total Reward: -21.0
2025-04-30 00:55:10,070 - INFO - Episode 1006, Total Reward: -21.0
2025-04-30 00:55:56,080 - INFO - Episode 1007, Total Reward: -21.0
2025-04-30 00:56:50,139 - INFO - Episode 1008, Total Reward: -20.0
2025-04-30 00:57:34,207 - INFO - Episode 1009, Total Reward: -21.0
2025-04-30 00:58:19,189 - INFO - Episode 1010, Total Reward: -21.0
2025-04-30 00:59:06,811 - INFO - Episode 1011, Total Reward: -21.0
2025-04-30 00:59:54,422 - INFO - Episode 1012, Total Reward: -21.0
2025-04-30 01:00:39,864 - INFO - Episode 1013, Total Reward: -21.0
2025-04-30 01:01:33,052 - INFO - Episode 1014, Total Reward: -21.0
2025-04-30 01:02:34,071 - INFO - Episode 1015, Total Reward: -19.0
2025-04-30 01:03:21,232 - INFO - Episode 1016, Total Reward: -21.0
2025-04-30 01:04:23,373 - INFO - Episode 1017, Total Reward: -20.0
2025-04-30 01:05:07,993 - INFO - Episode 1018, Total Reward: -21.0
2025-04-30 01:05:55,698 - INFO - Episode 1019, Total Reward: -21.0
2025-04-30 01:06:50,011 - INFO - Episode 1020, Total Reward: -21.0
2025-04-30 01:07:34,571 - INFO - Episode 1021, Total Reward: -21.0
2025-04-30 01:08:24,195 - INFO - Episode 1022, Total Reward: -21.0
2025-04-30 01:09:19,402 - INFO - Episode 1023, Total Reward: -20.0
2025-04-30 01:10:18,920 - INFO - Episode 1024, Total Reward: -20.0
2025-04-30 01:11:03,589 - INFO - Episode 1025, Total Reward: -21.0
2025-04-30 01:11:51,666 - INFO - Episode 1026, Total Reward: -21.0
2025-04-30 01:12:40,842 - INFO - Episode 1027, Total Reward: -21.0
2025-04-30 01:13:26,645 - INFO - Episode 1028, Total Reward: -21.0
2025-04-30 01:14:11,206 - INFO - Episode 1029, Total Reward: -21.0
2025-04-30 01:15:00,142 - INFO - Episode 1030, Total Reward: -21.0
2025-04-30 01:15:49,588 - INFO - Episode 1031, Total Reward: -21.0
2025-04-30 01:16:36,263 - INFO - Episode 1032, Total Reward: -21.0
2025-04-30 01:17:29,580 - INFO - Episode 1033, Total Reward: -21.0
2025-04-30 01:18:18,118 - INFO - Episode 1034, Total Reward: -21.0
2025-04-30 01:19:08,504 - INFO - Episode 1035, Total Reward: -20.0
2025-04-30 01:19:56,520 - INFO - Episode 1036, Total Reward: -21.0
2025-04-30 01:20:43,049 - INFO - Episode 1037, Total Reward: -21.0
2025-04-30 01:21:33,256 - INFO - Episode 1038, Total Reward: -21.0
2025-04-30 01:22:18,881 - INFO - Episode 1039, Total Reward: -21.0
2025-04-30 01:23:03,370 - INFO - Episode 1040, Total Reward: -21.0
2025-04-30 01:23:48,148 - INFO - Episode 1041, Total Reward: -21.0
2025-04-30 01:24:33,250 - INFO - Episode 1042, Total Reward: -21.0
2025-04-30 01:25:18,555 - INFO - Episode 1043, Total Reward: -21.0
2025-04-30 01:26:03,735 - INFO - Episode 1044, Total Reward: -21.0
2025-04-30 01:26:49,248 - INFO - Episode 1045, Total Reward: -21.0
2025-04-30 01:27:34,012 - INFO - Episode 1046, Total Reward: -21.0
2025-04-30 01:28:17,998 - INFO - Episode 1047, Total Reward: -21.0
2025-04-30 01:29:07,678 - INFO - Episode 1048, Total Reward: -20.0
2025-04-30 01:29:56,167 - INFO - Episode 1049, Total Reward: -21.0
2025-04-30 01:30:45,698 - INFO - Episode 1050, Total Reward: -20.0
2025-04-30 01:31:35,405 - INFO - Episode 1051, Total Reward: -20.0
2025-04-30 01:32:23,725 - INFO - Episode 1052, Total Reward: -20.0
2025-04-30 01:33:12,822 - INFO - Episode 1053, Total Reward: -20.0
2025-04-30 01:33:58,665 - INFO - Episode 1054, Total Reward: -21.0
2025-04-30 01:34:45,328 - INFO - Episode 1055, Total Reward: -21.0
2025-04-30 01:35:31,147 - INFO - Episode 1056, Total Reward: -21.0
2025-04-30 01:36:17,512 - INFO - Episode 1057, Total Reward: -21.0
2025-04-30 01:37:04,370 - INFO - Episode 1058, Total Reward: -21.0
2025-04-30 01:37:50,530 - INFO - Episode 1059, Total Reward: -21.0
2025-04-30 01:38:35,028 - INFO - Episode 1060, Total Reward: -21.0
2025-04-30 01:39:26,682 - INFO - Episode 1061, Total Reward: -20.0
2025-04-30 01:40:14,234 - INFO - Episode 1062, Total Reward: -21.0
2025-04-30 01:40:58,147 - INFO - Episode 1063, Total Reward: -21.0
2025-04-30 01:41:47,076 - INFO - Episode 1064, Total Reward: -21.0
2025-04-30 01:42:38,277 - INFO - Episode 1065, Total Reward: -21.0
