2025-05-17 16:46:46,318 - INFO - Using device: mps
2025-05-17 16:46:49,932 - INFO - 
        ---------------------------------------------------------------
        Loaded checkpoint from model_run_6/checkpoint.pkl with following params:
        EPISODE: 850
        STEP: 832,922
        BEST REWARD: -11.0
        EPSILON: 0.0140
        ---------------------------------------------------------------
        
2025-05-17 17:08:31,283 - INFO - Episode 900, Total Reward: -19.0, Average Loss: 0.0017, Epsilon: 0.0109
2025-05-17 17:08:41,282 - INFO - 
        ------------------------------------------------------------
        Saved checkpoint to model_run_6/checkpoint.pkl with following params:
        EPISODE: 900
        STEP: 897,404
        BEST REWARD: -11.0
        EPSILON: 0.0109
        ------------------------------------------------------------
        
2025-05-17 17:08:41,284 - INFO - Checkpointing at episode 900
2025-05-17 17:09:08,141 - INFO - Episode 901, Total Reward: -19.0, Average Loss: 0.0099, Epsilon: 0.0109
2025-05-17 17:09:36,913 - INFO - Episode 902, Total Reward: -19.0, Average Loss: 0.0053, Epsilon: 0.0108
2025-05-17 17:10:09,885 - INFO - Episode 903, Total Reward: -16.0, Average Loss: 0.0038, Epsilon: 0.0108
2025-05-17 17:10:46,510 - INFO - Episode 904, Total Reward: -14.0, Average Loss: 0.0033, Epsilon: 0.0107
2025-05-17 17:11:14,121 - INFO - Episode 905, Total Reward: -19.0, Average Loss: 0.0030, Epsilon: 0.0107
2025-05-17 17:11:36,212 - INFO - Episode 906, Total Reward: -18.0, Average Loss: 0.0030, Epsilon: 0.0106
2025-05-17 17:12:00,003 - INFO - Episode 907, Total Reward: -20.0, Average Loss: 0.0024, Epsilon: 0.0106
2025-05-17 17:12:36,081 - INFO - Episode 908, Total Reward: -17.0, Average Loss: 0.0024, Epsilon: 0.0105
2025-05-17 17:13:01,515 - INFO - Episode 909, Total Reward: -20.0, Average Loss: 0.0023, Epsilon: 0.0104
2025-05-17 17:13:28,200 - INFO - Episode 910, Total Reward: -17.0, Average Loss: 0.0022, Epsilon: 0.0104
2025-05-17 17:13:55,755 - INFO - Episode 911, Total Reward: -20.0, Average Loss: 0.0021, Epsilon: 0.0103
