2025-05-15 20:11:00,174 - INFO - Using device: mps
2025-05-15 20:11:02,424 - INFO - Found latest_model @ /gdm-atari/model_run_5_gemini_fixed/pong_dqn_episode_2500.pth
2025-05-15 20:11:02,424 - INFO - Loading latest_model @ /gdm-atari/model_run_5_gemini_fixed/pong_dqn_episode_2500.pth
2025-05-15 20:11:02,433 - INFO - Loaded model from episode 2500
2025-05-15 20:11:02,433 - INFO - Successfully loaded model and synchronized target model
2025-05-15 20:11:03,915 - INFO - Updated target network at episode 2500
2025-05-15 20:19:25,277 - INFO - Episode 2546, Total Reward: -20.0, Average Loss: 0.0037, Epsilon: 0.7941
2025-05-15 20:19:45,160 - INFO - Episode 2547, Total Reward: -19.0, Average Loss: 0.0041, Epsilon: 0.7901
2025-05-15 20:20:04,094 - INFO - Episode 2548, Total Reward: -20.0, Average Loss: 0.0037, Epsilon: 0.7862
2025-05-15 20:20:29,446 - INFO - Episode 2549, Total Reward: -17.0, Average Loss: 0.0038, Epsilon: 0.7822
2025-05-15 20:20:51,649 - INFO - Episode 2550, Total Reward: -20.0, Average Loss: 0.0038, Epsilon: 0.7783
2025-05-15 20:21:11,170 - INFO - Episode 2551, Total Reward: -21.0, Average Loss: 0.0036, Epsilon: 0.7744
2025-05-15 20:21:29,363 - INFO - Episode 2552, Total Reward: -19.0, Average Loss: 0.0037, Epsilon: 0.7705
2025-05-15 20:21:44,634 - INFO - Episode 2553, Total Reward: -21.0, Average Loss: 0.0037, Epsilon: 0.7667
2025-05-15 20:22:02,574 - INFO - Episode 2554, Total Reward: -21.0, Average Loss: 0.0036, Epsilon: 0.7629
2025-05-15 20:22:21,171 - INFO - Episode 2555, Total Reward: -20.0, Average Loss: 0.0037, Epsilon: 0.7590
2025-05-15 20:22:38,824 - INFO - Episode 2556, Total Reward: -19.0, Average Loss: 0.0036, Epsilon: 0.7553
2025-05-15 20:22:58,432 - INFO - Episode 2557, Total Reward: -20.0, Average Loss: 0.0039, Epsilon: 0.7515
2025-05-15 20:23:20,419 - INFO - Episode 2558, Total Reward: -18.0, Average Loss: 0.0040, Epsilon: 0.7477
2025-05-15 20:23:38,723 - INFO - Episode 2559, Total Reward: -21.0, Average Loss: 0.0038, Epsilon: 0.7440
2025-05-15 20:24:04,975 - INFO - Episode 2560, Total Reward: -19.0, Average Loss: 0.0039, Epsilon: 0.7403
2025-05-15 20:24:27,690 - INFO - Episode 2561, Total Reward: -21.0, Average Loss: 0.0039, Epsilon: 0.7366
2025-05-15 20:24:45,784 - INFO - Episode 2562, Total Reward: -20.0, Average Loss: 0.0038, Epsilon: 0.7329
2025-05-15 20:25:04,876 - INFO - Episode 2563, Total Reward: -20.0, Average Loss: 0.0038, Epsilon: 0.7292
2025-05-15 20:25:25,707 - INFO - Episode 2564, Total Reward: -20.0, Average Loss: 0.0040, Epsilon: 0.7256
2025-05-15 20:25:48,586 - INFO - Episode 2565, Total Reward: -21.0, Average Loss: 0.0039, Epsilon: 0.7219
2025-05-15 20:26:08,909 - INFO - Episode 2566, Total Reward: -20.0, Average Loss: 0.0037, Epsilon: 0.7183
2025-05-15 20:26:40,878 - INFO - Episode 2567, Total Reward: -18.0, Average Loss: 0.0039, Epsilon: 0.7147
2025-05-15 20:27:10,688 - INFO - Episode 2568, Total Reward: -19.0, Average Loss: 0.0039, Epsilon: 0.7112
